Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,1172,1190,1170.51001,1189.01001,1189.01001,2694500
1/3/2018,1188.300049,1205.48999,1188.300049,1204.199951,1204.199951,3108800
1/4/2018,1205,1215.869995,1204.660034,1209.589966,1209.589966,3022100
1/5/2018,1217.51001,1229.140015,1210,1229.140015,1229.140015,3544700
1/8/2018,1236,1253.079956,1232.030029,1246.869995,1246.869995,4279500
1/9/2018,1256.900024,1259.329956,1241.76001,1252.699951,1252.699951,3661300
1/10/2018,1245.150024,1254.329956,1237.22998,1254.329956,1254.329956,2686000
1/11/2018,1259.73999,1276.77002,1256.459961,1276.680054,1276.680054,3125000
1/12/2018,1273.390015,1305.76001,1273.390015,1305.199951,1305.199951,5443700
1/16/2018,1323,1339.939941,1292.300049,1304.859985,1304.859985,7220700
1/17/2018,1312.23999,1314,1280.880005,1295,1295,5253800
1/18/2018,1293.949951,1304.599976,1284.02002,1293.319946,1293.319946,4026900
1/19/2018,1312,1313,1292.98999,1294.579956,1294.579956,4578500
1/22/2018,1297.170044,1327.449951,1296.660034,1327.310059,1327.310059,4140100
1/23/2018,1338.089966,1364.900024,1337.339966,1362.540039,1362.540039,5169300
1/24/2018,1374.819946,1388.160034,1338,1357.51001,1357.51001,6807500
1/25/2018,1368,1378.339966,1357.619995,1377.949951,1377.949951,4753000
1/26/2018,1392.01001,1402.530029,1380.910034,1402.050049,1402.050049,4857300
1/29/2018,1409.180054,1431.390015,1400.439941,1417.680054,1417.680054,5701900
1/30/2018,1403.170044,1439.25,1392,1437.819946,1437.819946,5871900
1/31/2018,1451.300049,1472.579956,1450.040039,1450.890015,1450.890015,6424700
2/1/2018,1445,1459.880005,1385.140015,1390,1390,9113800
2/2/2018,1477.390015,1498,1414,1429.949951,1429.949951,11125700
2/5/2018,1402.619995,1458.97998,1320.719971,1390,1390,11495000
2/6/2018,1361.459961,1443.98999,1351.790039,1442.839966,1442.839966,11066800
2/7/2018,1449,1460.98999,1415.150024,1416.780029,1416.780029,7162700
2/8/2018,1429.680054,1433.75,1349.939941,1350.5,1350.5,8578600
2/9/2018,1373.48999,1383.5,1265.930054,1339.599976,1339.599976,14141500
2/12/2018,1364.670044,1393.810059,1344.01001,1386.22998,1386.22998,6738900
