Date,Open,High,Low,Close,Adj Close,Volume
2018-08-30,73.849998,76.500000,73.650002,75.949997,75.949997,1085600
2018-08-31,75.849998,77.900002,75.800003,77.550003,77.550003,1001900
2018-09-04,77.550003,79.300003,77.199997,79.150002,79.150002,1004000
2018-09-05,79.250000,79.639999,74.750000,77.300003,77.300003,1224700
2018-09-06,77.349998,78.115997,74.500000,76.449997,76.449997,1009300
2018-09-07,76.000000,79.150002,75.449997,77.050003,77.050003,876100
2018-09-10,77.750000,78.400002,76.300003,77.150002,77.150002,953700
2018-09-11,77.150002,78.650002,76.750000,78.150002,78.150002,1642800
2018-09-12,78.199997,78.849998,74.650002,76.949997,76.949997,1095500
2018-09-13,77.150002,78.500000,77.098999,77.750000,77.750000,762000
2018-09-14,77.750000,78.349998,76.849998,77.300003,77.300003,947100
2018-09-17,77.000000,77.250000,73.849998,74.599998,74.599998,1090000
2018-09-18,74.599998,78.250000,74.599998,76.949997,76.949997,1000600
2018-09-19,76.750000,77.800003,74.400002,75.449997,75.449997,909100
2018-09-20,75.699997,76.099998,73.699997,75.400002,75.400002,1108200
2018-09-21,75.800003,78.449997,75.599998,78.099998,78.099998,1437600
2018-09-24,78.099998,81.050003,77.599998,78.500000,78.500000,1446600
2018-09-25,78.699997,82.400002,78.099998,80.750000,80.750000,2663900
2018-09-26,81.150002,81.400002,78.400002,78.550003,78.550003,1368100
2018-09-27,78.599998,83.750000,78.599998,82.500000,82.500000,1692700
2018-09-28,82.599998,86.650002,82.599998,86.349998,86.349998,1920800
2018-10-01,86.779999,89.045998,83.400002,83.720001,83.720001,1876300
2018-10-02,83.949997,85.400002,79.279999,80.370003,80.370003,2013600
2018-10-03,80.500000,81.220001,78.093002,79.900002,79.900002,1692100
2018-10-04,79.309998,80.910004,77.139999,78.070000,78.070000,1537700
2018-10-05,78.199997,79.378998,73.199997,75.830002,75.830002,2187600
2018-10-08,74.430000,75.309998,70.019997,71.000000,71.000000,2530400
2018-10-09,70.230003,72.440002,67.639999,69.250000,69.250000,2811700
2018-10-10,69.550003,69.959999,63.099998,63.430000,63.430000,4294600
2018-10-11,62.599998,66.339996,62.020000,62.430000,62.430000,3242400
2018-10-12,65.750000,67.500000,64.500000,65.940002,65.940002,2619600
2018-10-15,67.000000,68.209999,65.205002,66.370003,66.370003,1922900
2018-10-16,67.059998,71.699997,66.599998,70.870003,70.870003,2078000
2018-10-17,70.870003,71.940002,68.849998,69.949997,69.949997,1286100
2018-10-18,70.000000,71.839996,67.760002,68.230003,68.230003,1213200
2018-10-19,68.769997,70.500000,66.519997,67.089996,67.089996,839500
2018-10-22,67.169998,69.760002,66.449997,69.139999,69.139999,1176700
2018-10-23,67.120003,68.480003,65.440002,67.180000,67.180000,2178200
2018-10-24,67.099998,68.470001,61.529999,62.150002,62.150002,1284600
2018-10-25,62.939999,67.110001,62.500000,65.959999,65.959999,1390900
2018-10-26,62.950001,64.949997,59.841000,62.509998,62.509998,1817400
2018-10-29,63.209999,66.089996,61.205002,63.220001,63.220001,1756500
2018-10-30,63.110001,67.573997,63.000000,67.190002,67.190002,1699200
2018-10-31,68.580002,70.970001,68.300003,69.339996,69.339996,1590800
2018-11-01,69.339996,71.269997,65.139999,69.519997,69.519997,2870500
2018-11-02,68.199997,75.930000,66.699997,72.510002,72.510002,3376900
2018-11-05,72.309998,72.309998,62.619999,63.340000,63.340000,4078300
2018-11-06,63.500000,65.980003,62.849998,63.410000,63.410000,1906400
2018-11-07,64.440002,69.199997,64.250000,68.279999,68.279999,2029400
2018-11-08,67.889999,68.042000,65.000000,65.330002,65.330002,993300
2018-11-09,65.000000,65.449997,60.700001,62.490002,62.490002,1470000
2018-11-12,62.709999,63.240002,59.000000,60.560001,60.560001,1278800
2018-11-13,61.169998,63.165001,58.279999,58.509998,58.509998,1430400
2018-11-14,59.000000,60.189999,56.250000,57.400002,57.400002,1614300
2018-11-15,57.270000,60.430000,56.299999,60.290001,60.290001,1862100
2018-11-16,59.980000,61.849998,58.139999,59.080002,59.080002,1586700
2018-11-19,58.610001,59.389999,52.860001,52.939999,52.939999,2819200
2018-11-20,50.110001,55.740002,48.340000,54.759998,54.759998,2782700
2018-11-21,55.740002,56.650002,53.895000,54.919998,54.919998,1075100
2018-11-23,54.000000,57.240002,53.980000,55.750000,55.750000,512900
2018-11-26,56.500000,59.369999,56.000000,58.410000,58.410000,1127400
2018-11-27,57.840000,59.450001,56.110001,59.349998,59.349998,932800
2018-11-28,60.590000,63.610001,59.860001,63.540001,63.540001,1322800
2018-11-29,63.020000,64.669998,61.270000,64.089996,64.089996,1160500
2018-11-30,63.990002,65.540001,61.750000,62.450001,62.450001,1322100
2018-12-03,64.139999,65.089996,62.780998,64.879997,64.879997,1354400
2018-12-04,64.349998,66.150002,59.209999,59.810001,59.810001,2168800
2018-12-06,56.560001,57.250000,53.709999,55.810001,55.810001,4132800
2018-12-07,55.250000,56.834999,51.689999,53.410000,53.410000,2298100
2018-12-10,52.889999,55.439999,52.240002,52.340000,52.340000,1849300
2018-12-11,53.939999,55.049999,52.520000,53.490002,53.490002,2418100
2018-12-12,54.619999,55.930000,53.575001,53.709999,53.709999,1618400
2018-12-13,53.860001,54.630001,51.320000,52.450001,52.450001,2012600
2018-12-14,51.130001,53.325001,50.900002,51.169998,51.169998,1467900
2018-12-17,47.750000,50.959999,46.681000,47.869999,47.869999,3555700
2018-12-18,48.320000,50.240002,47.290001,47.990002,47.990002,1911100
2018-12-19,48.250000,50.380001,47.639999,48.580002,48.580002,1533400
2018-12-20,48.080002,48.660000,43.400002,45.869999,45.869999,2750100
2018-12-21,45.959999,47.639999,43.674000,44.009998,44.009998,2521500
2018-12-24,43.430000,45.369999,42.080002,42.880001,42.880001,1256900
2018-12-26,43.279999,48.400002,43.000000,48.330002,48.330002,1789500
2018-12-27,47.099998,48.360001,45.610001,48.330002,48.330002,1224200
2018-12-28,48.759998,49.900002,47.070000,48.410000,48.410000,968200
2018-12-31,49.020000,49.990002,48.500000,49.570000,49.570000,1170500
2019-01-02,48.189999,49.092999,47.250000,48.180000,48.180000,1410100
2019-01-03,47.730000,48.410000,46.000000,46.230000,46.230000,1015000
2019-01-04,47.759998,50.810001,47.250000,49.439999,49.439999,1602200
2019-01-07,48.750000,52.250000,48.450001,52.130001,52.130001,1770900
2019-01-08,53.880001,55.160000,52.750000,53.779999,53.779999,2027500
2019-01-09,54.419998,55.759998,53.930000,55.070000,55.070000,1634600
2019-01-10,54.529999,55.840000,53.400002,55.549999,55.549999,822600
2019-01-11,54.630001,55.970001,54.480000,55.470001,55.470001,753700
2019-01-14,56.000000,57.939999,55.279999,57.130001,57.130001,1807500
2019-01-15,57.000000,59.630001,57.000000,59.240002,59.240002,1452300
2019-01-16,60.000000,61.680000,59.500000,60.430000,60.430000,1399500
2019-01-17,59.900002,63.542999,59.900002,63.290001,63.290001,1958800
2019-01-18,64.169998,64.279999,61.509998,62.380001,62.380001,1793900
2019-01-22,60.930000,62.040001,59.779999,60.480000,60.480000,1149700
2019-01-23,60.939999,61.349998,58.860001,60.169998,60.169998,1565400
2019-01-24,59.889999,61.480000,59.480999,61.029999,61.029999,780800
2019-01-25,61.599998,63.240002,61.080002,63.000000,63.000000,906900
2019-01-28,62.080002,62.509998,60.549999,62.040001,62.040001,601100
2019-01-29,62.130001,62.650002,60.240002,60.759998,60.759998,956800
2019-01-30,61.450001,62.491001,60.299999,62.070000,62.070000,703400
2019-01-31,62.529999,64.570000,62.110001,64.199997,64.199997,1098000
2019-02-01,64.500000,64.519997,63.126999,63.200001,63.200001,1167500
2019-02-04,63.380001,65.730003,63.250000,64.419998,64.419998,1181800
2019-02-05,64.750000,65.310997,63.330002,63.820000,63.820000,1092800
2019-02-06,63.959999,64.980003,62.889999,64.000000,64.000000,1086700
2019-02-07,63.150002,63.650002,60.570000,62.250000,62.250000,1050600
2019-02-08,61.689999,62.669998,61.689999,62.590000,62.590000,703000
2019-02-11,63.240002,64.379997,62.410000,63.570000,63.570000,728800
2019-02-12,64.050003,65.834999,64.000000,65.769997,65.769997,758100
2019-02-13,66.139999,67.250000,64.919998,66.650002,66.650002,938100
2019-02-14,66.239998,67.250000,66.089996,66.580002,66.580002,746400
2019-02-15,67.209999,69.519997,66.799004,69.430000,69.430000,1444100
2019-02-19,69.459999,70.050003,68.823997,69.989998,69.989998,1038300
2019-02-20,69.830002,70.919998,68.610001,69.500000,69.500000,922900
2019-02-21,69.730003,69.810997,67.169998,68.250000,68.250000,1078900
2019-02-22,68.470001,69.260002,67.849998,69.150002,69.150002,814800
2019-02-25,70.000000,70.678001,69.199997,69.980003,69.980003,827600
2019-02-26,69.529999,69.980003,67.239998,67.410004,67.410004,1242700
2019-02-27,67.739998,69.339996,67.500000,68.989998,68.989998,2943700
2019-02-28,65.870003,70.290001,62.000000,64.360001,64.360001,5338100
2019-03-01,64.739998,68.029999,64.540001,67.550003,67.550003,1831700
2019-03-04,67.550003,67.559998,62.299999,63.130001,63.130001,2672600
2019-03-05,63.700001,64.413002,61.889999,63.750000,63.750000,1684600
2019-03-06,63.400002,63.686001,60.139999,60.160000,60.160000,1660000
2019-03-07,60.160000,61.560001,59.029999,59.320000,59.320000,1611400
2019-03-08,57.650002,59.279999,57.580002,58.919998,58.919998,926800
2019-03-11,59.400002,59.680000,58.599998,58.740002,58.740002,1257900
2019-03-12,59.000000,59.220001,57.980000,58.090000,58.090000,2129000
2019-03-13,58.570000,60.995998,58.139999,60.150002,60.150002,2205500
2019-03-14,60.000000,61.410000,59.450001,60.939999,60.939999,1437700
2019-03-15,61.000000,63.279999,60.570000,62.860001,62.860001,1968200
2019-03-18,62.849998,63.770000,62.080002,63.099998,63.099998,1416900
2019-03-19,63.650002,63.730000,62.500000,63.119999,63.119999,1099200
2019-03-20,62.950001,63.110001,61.099998,61.990002,61.990002,1141700
2019-03-21,61.490002,63.570000,61.080002,63.259998,63.259998,860500
2019-03-22,62.700001,63.354000,58.689999,58.770000,58.770000,1703300
2019-03-25,58.770000,59.060001,55.200001,55.660000,55.660000,2848300
2019-03-26,56.340000,56.580002,52.144001,52.500000,52.500000,2760900
2019-03-27,52.340000,52.442001,49.485001,50.869999,50.869999,2847200
2019-03-28,51.660000,54.020000,51.500000,53.680000,53.680000,2228900
2019-03-29,54.180000,56.090000,53.830002,55.599998,55.599998,2160800
2019-04-01,56.250000,57.000000,53.299999,53.630001,53.630001,1327300
2019-04-02,53.599998,55.860001,53.360001,55.520000,55.520000,1400200
2019-04-03,56.169998,56.488998,54.669998,55.459999,55.459999,1686000
2019-04-04,56.000000,57.099998,55.349998,57.009998,57.009998,1412800
2019-04-05,57.139999,58.880001,56.889999,58.490002,58.490002,976200
2019-04-08,58.389999,58.525002,55.544998,57.060001,57.060001,1709800
2019-04-09,56.840000,57.480000,55.750000,55.930000,55.930000,1164000
2019-04-10,55.799999,56.860001,54.790001,56.570000,56.570000,1551200
2019-04-11,56.799999,56.900002,54.970001,55.150002,55.150002,982800
2019-04-12,55.610001,55.950001,53.180000,53.450001,53.450001,1541500
2019-04-15,53.799999,54.790001,53.459999,54.029999,54.029999,865400
2019-04-16,54.349998,54.606998,52.334999,52.549999,52.549999,1652100
2019-04-17,53.500000,53.582001,49.000000,49.860001,49.860001,4241300
2019-04-18,50.220001,51.770000,48.570000,51.599998,51.599998,2161900
2019-04-22,51.709999,55.000000,51.709999,54.959999,54.959999,2158600
